Date,Views,Watch time (hours),Average view duration,Estimated revenue (USD),Video title,Video publish time,Duration,Video views,Watch time (hours)
10/15/24,116753,37372.518,0:19:12,1358.414,UK Border Patrol Investigates Potential Pakistan Illegal Immigrant | UK Border Force,19-Jun-19,2667,433854,152975.0342
10/14/24,130082,41843.5472,0:19:18,1308.749,UK Border Force Customs Agents Find Human Traffickers | Border Patrol,5-Dec-19,2653,395069,150759.4715
10/13/24,138218,43905.0702,0:19:03,1391.999,Drug Sniffing Dog Hits Jackpot | Border Security: Canada's Front Line,23-Mar-22,1311,394797,65768.5849
10/12/24,124091,39211.7974,0:18:57,1343.262,A Strange Traveler Search | Border Security: Australia's Front Line,1-Oct-23,1395,387296,92812.895
10/11/24,131979,43051.9427,0:19:34,1475.013,Bringing $400k Through Customs | Border Security: Canada's Front Line,23-Oct-22,1301,386398,69102.0755
10/10/24,127742,39506.457,0:18:33,1304.248,Border Security tears apart shocking items #smuggling #shocks,23-Apr-24,47,379767,4152.0936
10/9/24,120089,36175.989,0:18:04,1263.315,Meth Smuggled in Phone Chargers | Border Security: Australia's Front Line,10-Mar-24,1341,377766,79989.916
10/8/24,140838,43921.3462,0:18:42,1499.146,Traveler's Secret Revealed by X-Ray | Border Security: Australia's Front Line,8-Feb-24,1318,369382,85538.1436
10/7/24,167131,52061.5615,0:18:41,1782.909,Model Smuggling Cocaine? | Border Security: Australia's Front Line,7-Sep-22,1325,357662,73166.6885
10/6/24,156131,50450.1681,0:19:23,1579.124,Border Agents Search For Hidden Drugs at Gatwick Airport | Customs,29-Jul-19,1379,356718,49554.6049
10/5/24,137489,45635.3025,0:19:54,1438.629,They Seized His Gold and Money for ... reasons,27-Dec-23,33,352856,3072.6385
10/4/24,135664,45661.5621,0:20:11,1494.209,Hidden Ingredients | Border Security: Australia's Front Line,15-Feb-24,1337,352482,86630.4859
10/3/24,144261,49696.7081,0:20:40,1584.252,Border Security Agents Fight a Constant Battle Against Smugglers | Border Patrol,7-Nov-19,1381,350168,77292.2648
