Cities,City name,Views,Watch time (hours),Average view duration
0x3e5f43496ad9c645:0xbde66e5084295162,Dubai - United Arab Emirates,91059,10079.5342,0:06:38
0x3a5265ea4f7d3361:0x6e61a70b6863d433,"Chennai, Tamil Nadu, India",89854,1420.5534,0:00:56
0x864e6e122dc807ad:0xa4af8bf8dd69acbd,"Fort Worth, TX, USA",89764,11508.8827,0:07:41
0x888911df5885bfd3:0x25507409eaba54ce,"Birmingham, AL, USA",88964,6752.7108,0:04:33
0x4cc91a541c64b70d:0x654e3138211fefef,"Montreal, QC, Canada",84915,7532.0618,0:05:19
0x487a4d4c5226f5db:0xd9be143804fe6baa,"Manchester, UK",84327,13480.3082,0:09:35
0x87938dc8b50cfced:0x46424d4fae37b604,"Omaha, NE, USA",83061,5341.294,0:03:51
0x88690b1ab35bd511:0xd4d3b4282071fd32,"Louisville, KY, USA",73224,10049.2697,0:08:14
0x884051b1de3821f9:0x69fb7e8be4c09317,"Cincinnati, OH, USA",72840,5893.0684,0:04:51
0x487adf8a647060b7:0x42dc046f3f176e01,"Liverpool, UK",72192,11194.2698,0:09:18
0x8620a454b2118265:0xdb065be85e22d3b4,"New Orleans, LA, USA",71861,4835.5877,0:04:02
0x89bac1e8fc1527a7:0x4161080a32e0173,"Virginia Beach, VA, USA",71434,5876.2085,0:04:56
0x8834f16f48068503:0x8df915a15aa21b34,"Pittsburgh, PA, USA",70234,7227.5421,0:06:10
0x53a0224580deff23:0x411fa00c4af6155d,"Edmonton, AB, Canada",69251,7263.4938,0:06:17
0x548673f143a94fb3:0xbb9196ea9b81f38b,"Vancouver, BC, Canada",69077,5320.8663,0:04:37
0x182f1172d84d49a7:0xf7cf0254b297924c,"Nairobi, Kenya",66673,12873.2795,0:11:35
0x4cce05b25f5113af:0x8a6a51e131dd15ed,"Ottawa, ON, Canada",64492,6761.5633,0:06:17
0x488815562056ceeb:0x71e683b805ef511e,"Glasgow, UK",63529,9219.7389,0:08:42
0x86e73f8bc5fe3b69:0xe39184e3ab9d0222,"El Paso, TX, USA",63498,5854.7928,0:05:31
0x1e950c68f0406a51:0x238ac9d9b1d34041,"Johannesburg, South Africa",62435,11923.7958,0:11:27
0x80945de1549e4e9d:0x7b12406449a3b811,"Fresno, CA, USA",58799,7539.1383,0:07:41
0x31cc49c701efeae7:0xf4d98e5b2f1c287d,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",58764,1568.6687,0:01:36
0x86d665410b2ced2b:0x73c32d384d16c715,"Tucson, AZ, USA",57202,7273.208,0:07:37
0x1e95a6b1e2746071:0x3a0838c21e9e6ddf,"Soweto, South Africa",55578,14512.2333,0:15:40
0x4887b800a5982623:0x64f2147b7ce71727,"Edinburgh, UK",55489,6805.6914,0:07:21
0x80dcd6f98055e867:0x1ab89ab9a2bb160,"Anaheim, CA, USA",54420,5255.0771,0:05:47
0x48793e4ada64bd99:0x51adbafd0213dca9,"Leeds, UK",54413,8330.6896,0:09:11
0x880502d7578b47e7:0x445f1922b5417b84,"Milwaukee, WI, USA",52657,8575.1291,0:09:46
0x80dca6df7ff47dbb:0xf7a1d705135e0ae8,"Riverside, CA, USA",51724,4523.4556,0:05:14
0x89d3126152dfe5a1:0x982304a5181f8171,"Buffalo, NY, USA",51688,4222.7107,0:04:54
0x8713412ea1e6d22b:0x418eeb92f5e86b13,"Colorado Springs, CO, USA",50068,5091.7898,0:06:06
0x872ba7c2c0c592c1:0xd10fc215694e771b,"Mesa, AZ, USA",48230,5344.9332,0:06:38
0x3b080d514abec6bf:0xbd582caa5844192,"Kochi, Kerala, India",45783,516.7503,0:00:40
0x87d57e1eea439745:0xd193f315601ab6fe,"Memphis, TN, USA",45151,9874.2141,0:13:07
0x80c2cae84099d759:0xa1003afac42a8faa,"Long Beach, CA, USA",44431,6656.0206,0:08:59
0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sweden",43109,2800.6222,0:03:53
0x3397ba0942ef7375:0x4a9a32d9fe083d40,"Quezon City, Metro Manila, Philippines",42979,2003.3014,0:02:47
0x889a4e1df14cf8a9:0x4ce80e5477899e1a,"Mobile, AL, USA",42784,6325.7043,0:08:52
0x87d2a134a11f569b:0x3405f5100df35b17,"Little Rock, AR, USA",42533,2864.4014,0:04:02
0x52ea73fbf91a2b11:0x2b2a1afac6b9ca64,"Winnipeg, MB, Canada",41198,3587.5025,0:05:13
0x80ea6bc8b994cb0d:0x59360c0998fe74c8,"Bakersfield, CA, USA",40613,4614.5483,0:06:49
0x87c08ce427cf3515:0xdc77777b70c31e05,"Kansas City, KS, USA",40111,2071.421,0:03:05
0x3eb33e06651d4bbf:0x9cf92f44555a0c23,"Karachi, Karachi City, Sindh, Pakistan",39308,2300.953,0:03:30
0x88185460bb502815:0xa593aacb1bd3a8d0,"Grand Rapids, MI, USA",38653,2144.9904,0:03:19
0x882b469fe76b05b7:0x3146cbed75966db,"Mississauga, ON, Canada",38556,3814.7396,0:05:56
0x4871836681b3d861:0x8ee4b22e4b9ad71f,"Bristol, UK",37805,5194.4085,0:08:14
0x47a84e373f035901:0x42120465b5e3b70,"Berlin, Germany",37306,910.255,0:01:27
0x48790aa9fae8be15:0x3e2827f5af06b078,"Sheffield, UK",37038,5663.4138,0:09:10
0x47c63fb5949a7755:0x6600fd4cb7c0af8d,"Amsterdam, Netherlands",36636,1396.619,0:02:17
0x39f882db4908f667:0x43e330e68f6c2cbc,"Kolkata, West Bengal, India",36600,463.3527,0:00:45
0x882b15eaa5d05abf:0x352d31667cc38677,"Brampton, ON, Canada",35181,3541.0561,0:06:02
0x2e69f3e945e34b9d:0x5371bf0fdad786a2,"Jakarta, Indonesia",34766,635.6687,0:01:05
0x399bfd991f32b16b:0x93ccba8909978be7,"Lucknow, Uttar Pradesh, India",34752,388.1034,0:00:40
0x80900d737b442181:0x5876f5d1044fcbd8,"Stockton, CA, USA",34647,4869.7474,0:08:25
0x487742ab49b76c73:0x9a151d2a6fb49cb8,"Leicester, UK",33813,5004.8072,0:08:52
0x395e848aba5bd449:0x4fcedd11614f6516,"Ahmedabad, Gujarat, India",32855,435.7724,0:00:47
