Viewer age,Views (%),Average view duration,Average percentage viewed (%),Watch time (hours) (%)
13–17 years,0.61,0:04:40,38.43,0.26
18–24 years,10.81,0:06:51,46.71,6.84
25–34 years,22.29,0:08:11,48.2,16.8
35–44 years,18.53,0:10:23,47.42,17.73
45–54 years,14.71,0:12:44,47.13,17.27
55–64 years,15.19,0:13:40,47.05,19.12
65+ years,17.86,0:13:21,45.74,21.98
